city, birthplace, year, population
CC, ireland, 2006, 101895
CC, lithuania, 2006, 381
CC, other-eu-25, 2006, 3159
CC, poland, 2006, 2630
CC, rest, 2006, 4385
CC, uk, 2006, 4772
DC, ireland, 2006, 401122
DC, lithuania, 2006, 2600
DC, other-eu-25, 2006, 17526
DC, poland, 2006, 10580
DC, rest, 2006, 37496
DC, uk, 2006, 22231
GC, ireland, 2006, 54688
GC, lithuania, 2006, 544
GC, other-eu-25, 2006, 2529
GC, poland, 2006, 2522
GC, rest, 2006, 4983
GC, uk, 2006, 4541
LC, ireland, 2006, 44824
LC, lithuania, 2006, 236
LC, other-eu-25, 2006, 1256
LC, poland, 2006, 1569
LC, rest, 2006, 1971
LC, uk, 2006, 2030
WC, ireland, 2006, 39075
WC, lithuania, 2006, 184
WC, other-eu-25, 2006, 872
WC, poland, 2006, 661
WC, rest, 2006, 2018
WC, uk, 2006, 2299
